date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:20	90233/90233	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:44:17%20GMT	https://mattfarley.ca/img/projects/awg2020.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/projects/awg2020.html	(from https://mattfarley.ca/)
11:44:22	15347/15347	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:44:18%20GMT	https://mattfarley.ca/img/logos/redstamp.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/redstamp.html	(from https://mattfarley.ca/)
11:44:23	19648/19648	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:44:18%20GMT	https://mattfarley.ca/img/logos/goodkind.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/goodkind.html	(from https://mattfarley.ca/)
11:44:24	5504/5504	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:44:21%20GMT	https://mattfarley.ca/img/logos/designlab.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/designlab.html	(from https://mattfarley.ca/)
11:44:26	3277/3277	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:44:23%20GMT	https://mattfarley.ca/img/logos/bldrs.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/bldrs.html	(from https://mattfarley.ca/)
11:44:27	1069674/1069674	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:44:18%20GMT	https://mattfarley.ca/img/projects/coupal.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/projects/coupal.html	(from https://mattfarley.ca/)
11:44:29	15646/15646	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2027%20Dec%202021%2010:44:25%20GMT	https://mattfarley.ca/img/logos/houston.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/houston.html	(from https://mattfarley.ca/)
11:44:29	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:44:25%20GMT	https://mattfarley.ca/img/logos/domain7.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/domain7.html	(from https://mattfarley.ca/)
11:44:30	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:44:27%20GMT	https://mattfarley.ca/img/logos/basin.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/basin.html	(from https://mattfarley.ca/)
11:44:30	5455/5455	---MC-	504	error ('Gateway%20Time-out')	text/html	date:Mon,%2027%20Dec%202021%2010:44:27%20GMT	https://mattfarley.ca/img/logos/ylbuilders.svg	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/logos/ylbuilders.html	(from https://mattfarley.ca/)
11:44:30	773913/773913	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Dec%202021%2010:44:17%20GMT	https://mattfarley.ca/img/projects/wfdesignbuild.png	C:/Mes%20Sites%20Web/Portfolio/mattfarley.ca/img/projects/wfdesignbuild.html	(from https://mattfarley.ca/)
